Who,scraped_datetime,Headline,Url,Site,Siteurl,Published,Description
Random wiki,2026_03_12_05,Fabio Borbottoni,https://en.wikipedia.org/wiki/Fabio_Borbottoni,Wikipedia,https://en.wikipedia.org,2026_03_12_05,"Fabio Borbottoni (1820–1902) was an Italian painter, mainly of urban vedute of Florence."
Random wiki,2026_03_12_05,Tony McLoughlin (footballer),https://en.wikipedia.org/wiki/Tony_McLoughlin_(footballer),Wikipedia,https://en.wikipedia.org,2026_03_12_05,"Tony McLoughlin (24 September 1946 – August 2012) was a footballer who played as a centre forward in the Football League for Wrexham and Chester.[2] He also played for Wigan Athletic, scoring 34 goals for the club in the Northern Premier League.[3] He later moved to America to play for Dallas Tornado in the North American Soccer League."
Random wiki,2026_03_12_05,The Guardian of Paradise,https://en.wikipedia.org/wiki/The_Guardian_of_Paradise,Wikipedia,https://en.wikipedia.org,2026_03_12_05,The Guardian of Paradise (German: Der Wächter des Paradieses) is an 1889 painting by the German artist Franz Stuck. It shows a glowing angel with bird-like wings and a flaming sword.
Random wiki,2026_03_12_05,OR5BF1,https://en.wikipedia.org/wiki/OR5BF1,Wikipedia,https://en.wikipedia.org,2026_03_12_05,Olfactory receptor 14C36 is a protein that in humans is encoded by the OR14C36 gene.[5]
Random wiki,2026_03_12_05,St. James Seminary Senior High School,https://en.wikipedia.org/wiki/St._James_Seminary_Senior_High_School,Wikipedia,https://en.wikipedia.org,2026_03_12_05,"St. James Seminary is a senior high school in Sunyani, the capital of the Bono region of Ghana, founded in 1978 by Most Rev. James Kwadwo Owusu,[1][2][3] the late bishop of the Roman Catholic Diocese of Sunyani. It is not just a Senior High School, but also a Catholic Minor Seminary which offers a wide range of opportunities for both seminarians and non-Seminarians to make them not only aware of their potentials, but to fulfill them. The school emphasizes moral, spiritual and positive character formation in addition to striving to achieve academic excellence. St. James has been adjudged the best senior high school in Ghana[4][5] over the past decade having featured consecutively in the list of top ten performing schools in the West African Examinations Council’s Senior School Certificate Exams (WASSCE) over the period. It topped the WASSCE in 2006,[6] 2009 and 2011[7] and produced the overall best and third best candidates in West Africa in the 2016 exam.[8][9]"
